Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
624,Karl Etta,cm CMR,FW,Villarreal,es La Liga,21.0,2003,3,3,257,2.9,1,2,3,1,0,0,0,0,0.9,0.9,0.7,1.7,3,4,10,1.05,0.59,624,cm CMR,FW,es La Liga,21-350,2003,2.9,1,7,3,42.9,2.45,1.05,0.14,0.33,12.4,0,0,0,0.9,0.9,0.13,+0.1,+0.1,624,cm CMR,FW,es La Liga,21-350,2003,2.9,23,29,79.3,253,61,2,0.7,0.4,+1.3,3,3,0,0,4,624,cm CMR,FW,es La Liga,21-350,2003,2.9,29,28,0,0,0,0,0,0,0,0,0,0,23,1,1,624,cm CMR,FW,es La Liga,21-350,2003,2.9,6,2.11,5,0,0,0,1,0,2,0.70,624,cm CMR,FW,es La Liga,21-350,2003,2.9,4,2,1,2,1,2,100.0,0,2,0,2,0,4,1,0,624,cm CMR,FW,es La Liga,21-350,2003,2.9,61,2,5,26,31,13,61,4,0,0.0,3,75.0,42,192,84,3,1,0,9,2,42,10,770,cm CMR,FW,es La Liga,21-350,2003,3,257,86,40.8,2.9,3,86,3,0,,0,2.33,8,0,+8,+2.80,+2.80,5.5,1.5,+4.1,+1.43,624,cm CMR,FW,es La Liga,21-350,2003,2.9,0,0,0,3,4,1,0,0,2,0,0,0,5,1,5,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Karl Etta,cm CMR,FW,Levante,es La Liga,21.0,2003,4,4,298,3.3,3,1,4,3,0,0,1,0,2.1,2.1,0.5,2.7,1,1,13,1.21,0.81,625,cm CMR,FW,es La Liga,21-350,2003,3.3,3,11,4,36.4,3.32,1.21,0.27,0.75,14.9,0,0,0,2.1,2.1,0.19,+0.9,+0.9,625,cm CMR,FW,es La Liga,21-350,2003,3.3,31,46,67.4,370,68,1,0.5,0.2,+0.5,2,4,0,0,1,625,cm CMR,FW,es La Liga,21-350,2003,3.3,46,40,5,0,0,0,0,0,0,0,0,0,31,1,1,625,cm CMR,FW,es La Liga,21-350,2003,3.3,7,2.14,4,0,1,1,1,0,3,0.92,625,cm CMR,FW,es La Liga,21-350,2003,3.3,6,4,2,3,1,5,80.0,1,3,0,3,0,6,7,0,625,cm CMR,FW,es La Liga,21-350,2003,3.3,100,9,16,48,36,12,100,2,1,50.0,1,50.0,49,168,44,1,0,1,14,6,61,13,771,cm CMR,FW,es La Liga,21-350,2003,4,298,75,47.3,3.3,4,75,4,0,,0,1.25,7,6,+1,+0.30,+1.39,5.5,5.4,+0.1,+0.03,625,cm CMR,FW,es La Liga,21-350,2003,3.3,1,0,0,3,6,0,0,0,4,0,0,0,10,10,10,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Evanilson,br BRA,FW,Bournemouth,eng Premier League,25.0,1999,6,6,529,5.9,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,4,7,16,0.17,0.29,626,br BRA,FW,eng Premier League,25-358,1999,5.9,1,13,3,23.1,2.21,0.51,0.08,0.33,12.5,0,0,0,1.0,1.0,0.08,0.0,0.0,626,br BRA,FW,eng Premier League,25-358,1999,5.9,76,92,82.6,836,142,0,0.7,0.3,-0.7,8,2,3,0,7,626,br BRA,FW,eng Premier League,25-358,1999,5.9,92,88,3,0,0,0,1,0,0,0,0,0,76,1,4,626,br BRA,FW,eng Premier League,25-358,1999,5.9,15,2.57,12,0,0,1,2,0,1,0.17,626,br BRA,FW,eng Premier League,25-358,1999,5.9,1,1,0,1,0,4,25.0,3,4,1,3,0,1,6,0,626,br BRA,FW,eng Premier League,25-358,1999,5.9,143,5,14,65,65,26,143,8,2,25.0,1,12.5,77,346,140,4,4,3,9,5,93,16,772,br BRA,FW,eng Premier League,25-358,1999,6,529,88,98.0,5.9,6,88,6,0,,0,1.83,8,7,+1,+0.17,+0.17,7.2,5.3,+1.8,+0.31,626,br BRA,FW,eng Premier League,25-358,1999,5.9,1,0,0,3,8,6,1,0,1,1,0,0,19,8,23,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Edu Expósito,es ESP,MF,Espanyol,es La Liga,29.0,1996,6,5,415,4.6,0,2,2,0,0,0,2,0,0.5,0.5,2.3,2.8,11,38,17,0.43,0.62,627,es ESP,MF,es La Liga,29-059,1996,4.6,0,8,3,37.5,1.73,0.65,0.00,0.00,23.8,1,0,0,0.5,0.5,0.06,-0.5,-0.5,627,es ESP,MF,es La Liga,29-059,1996,4.6,162,213,76.1,3036,1213,2,2.3,2.2,-0.3,15,28,12,3,38,627,es ESP,MF,es La Liga,29-059,1996,4.6,213,178,34,15,1,0,37,3,13,6,4,1,162,1,3,627,es ESP,MF,es La Liga,29-059,1996,4.6,27,5.88,15,11,1,0,0,0,5,1.09,627,es ESP,MF,es La Liga,29-059,1996,4.6,7,5,2,4,1,8,75.0,2,1,1,0,4,11,7,0,627,es ESP,MF,es La Liga,29-059,1996,4.6,252,9,31,133,89,5,252,5,4,80.0,1,20.0,128,696,431,11,7,1,1,10,152,17,773,es ESP,MF,es La Liga,29-059,1996,6,415,69,65.9,4.6,5,78,5,1,25,1,1.50,7,7,0,0.00,-0.42,7.4,4.2,+3.2,+0.70,627,es ESP,MF,es La Liga,29-059,1996,4.6,2,0,0,6,5,0,37,4,5,0,0,0,15,5,7,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Eberechi Eze,eng ENG,"FW,MF",Arsenal,eng Premier League,27.0,1998,4,2,234,2.6,0,2,2,0,0,0,0,0,0.6,0.6,0.7,1.3,8,14,16,0.77,0.49,628,eng ENG,"FW,MF",eng Premier League,27-092,1998,2.6,0,7,3,42.9,2.69,1.15,0.00,0.00,17.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6,628,eng ENG,"FW,MF",eng Premier League,27-092,1998,2.6,77,93,82.8,1180,316,2,0.7,0.8,+1.3,3,3,4,0,14,628,eng ENG,"FW,MF",eng Premier League,27-092,1998,2.6,93,89,4,0,2,1,2,0,1,1,0,0,77,0,1,628,eng ENG,"FW,MF",eng Premier League,27-092,1998,2.6,9,3.46,7,0,1,1,0,0,2,0.77,628,eng ENG,"FW,MF",eng Premier League,27-092,1998,2.6,1,1,0,1,0,0,,0,1,0,1,0,1,2,0,628,eng ENG,"FW,MF",eng Premier League,27-092,1998,2.6,123,2,9,48,67,12,123,10,6,60.0,4,40.0,75,518,297,8,4,1,5,4,91,16,774,eng ENG,"FW,MF",eng Premier League,27-092,1998,4,234,59,43.3,2.6,2,85,2,2,33,0,1.75,5,2,+3,+1.15,-0.61,4.4,1.3,+3.1,+1.18,628,eng ENG,"FW,MF",eng Premier League,27-092,1998,2.6,0,0,0,1,3,1,2,0,1,0,0,0,10,3,4,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,27.0,1998,1,1,84,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,2,0.00,0.26,629,eng ENG,MF,eng Premier League,27-092,1998,0.9,0,6,2,33.3,6.43,2.14,0.00,0.00,32.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,629,eng ENG,MF,eng Premier League,27-092,1998,0.9,16,25,64.0,241,34,0,0.0,0.0,0.0,0,2,0,0,1,629,eng ENG,MF,eng Premier League,27-092,1998,0.9,25,19,6,3,0,1,4,0,2,2,0,0,16,0,0,629,eng ENG,MF,eng Premier League,27-092,1998,0.9,3,3.25,1,0,0,2,0,0,0,0.00,629,eng ENG,MF,eng Premier League,27-092,1998,0.9,1,1,0,1,0,0,,0,1,0,1,0,1,1,0,629,eng ENG,MF,eng Premier League,27-092,1998,0.9,37,0,2,24,11,1,37,4,2,50.0,1,25.0,18,116,60,0,0,0,1,2,22,2,775,eng ENG,MF,eng Premier League,27-092,1998,1,84,84,15.6,0.9,1,84,1,0,,0,1.00,0,0,0,0.00,-0.99,0.6,1.2,-0.6,-0.60,629,eng ENG,MF,eng Premier League,27-092,1998,0.9,0,0,0,2,1,0,4,0,1,0,0,0,5,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,23.0,2001,3,2,164,1.8,1,1,2,1,0,0,0,0,0.7,0.7,1.2,1.9,14,5,24,1.10,1.06,630,ma MAR,FW,es La Liga,23-286,2001,1.8,1,8,3,37.5,4.39,1.65,0.13,0.33,17.3,0,0,0,0.7,0.7,0.09,+0.3,+0.3,630,ma MAR,FW,es La Liga,23-286,2001,1.8,63,78,80.8,712,194,1,1.2,0.9,-0.2,5,2,2,0,5,630,ma MAR,FW,es La Liga,23-286,2001,1.8,78,75,2,1,0,0,6,1,0,0,0,0,63,1,4,630,ma MAR,FW,es La Liga,23-286,2001,1.8,12,6.59,9,0,3,0,0,0,1,0.55,630,ma MAR,FW,es La Liga,23-286,2001,1.8,4,2,2,1,1,2,100.0,0,2,0,2,1,5,3,0,630,ma MAR,FW,es La Liga,23-286,2001,1.8,108,3,8,48,56,18,108,15,5,33.3,5,33.3,71,559,351,14,7,8,5,2,80,24,776,ma MAR,FW,es La Liga,23-286,2001,3,164,55,26.0,1.8,2,73,2,1,18,0,2.33,6,1,+5,+2.74,+2.94,3.4,1.4,+2.0,+1.09,630,ma MAR,FW,es La Liga,23-286,2001,1.8,0,0,0,0,11,0,6,1,2,0,0,0,9,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22.0,2003,4,3,215,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,7,5,0.00,0.09,631,it ITA,MF,it Serie A,22-258,2003,2.4,0,4,0,0.0,1.67,0.00,0.00,,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,631,it ITA,MF,it Serie A,22-258,2003,2.4,38,47,80.9,712,166,0,0.0,0.0,0.0,1,7,0,0,7,631,it ITA,MF,it Serie A,22-258,2003,2.4,47,44,3,2,0,2,1,1,0,0,0,0,38,0,2,631,it ITA,MF,it Serie A,22-258,2003,2.4,5,2.11,3,0,1,0,1,0,0,0.00,631,it ITA,MF,it Serie A,22-258,2003,2.4,2,0,0,1,1,0,,0,1,0,1,2,4,0,0,631,it ITA,MF,it Serie A,22-258,2003,2.4,64,1,4,44,18,4,64,4,1,25.0,1,25.0,41,179,67,1,1,0,3,4,40,5,777,it ITA,MF,it Serie A,22-258,2003,4,215,54,47.8,2.4,3,66,3,1,18,1,1.00,2,2,0,0.00,0.00,2.4,2.7,-0.3,-0.13,631,it ITA,MF,it Serie A,22-258,2003,2.4,0,0,0,3,8,1,1,2,0,0,0,0,8,4,4,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Alieu Fadera,gm GAM,"FW,MF",Sassuolo,it Serie A,23.0,2001,5,0,118,1.3,1,1,2,1,0,0,0,0,0.8,0.8,0.3,1.1,8,2,13,1.53,0.80,632,gm GAM,"FW,MF",it Serie A,23-330,2001,1.3,1,2,1,50.0,1.53,0.76,0.50,1.00,8.0,0,0,0,0.8,0.8,0.38,+0.2,+0.2,632,gm GAM,"FW,MF",it Serie A,23-330,2001,1.3,30,35,85.7,456,124,1,0.3,0.6,+0.7,1,3,1,0,2,632,gm GAM,"FW,MF",it Serie A,23-330,2001,1.3,35,35,0,0,0,0,2,0,0,0,0,0,30,0,3,632,gm GAM,"FW,MF",it Serie A,23-330,2001,1.3,5,3.66,3,0,1,0,1,0,2,1.46,632,gm GAM,"FW,MF",it Serie A,23-330,2001,1.3,4,3,2,2,0,6,16.7,5,1,0,1,1,5,0,0,632,gm GAM,"FW,MF",it Serie A,23-330,2001,1.3,60,2,10,29,25,10,60,8,3,37.5,3,37.5,37,356,183,8,5,6,8,2,41,13,779,gm GAM,"FW,MF",it Serie A,23-330,2001,5,118,24,26.2,1.3,0,,0,5,24,0,1.20,4,2,+2,+1.53,+2.34,3.4,2.4,+1.0,+0.75,632,gm GAM,"FW,MF",it Serie A,23-330,2001,1.3,0,0,0,6,6,0,2,1,3,1,1,0,5,2,5,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24.0,2001,4,2,228,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,12,1,0.00,0.03,633,it ITA,MF,it Serie A,24-229,2001,2.5,0,2,0,0.0,0.79,0.00,0.00,,27.9,0,0,0,0.0,0.0,0.02,0.0,0.0,633,it ITA,MF,it Serie A,24-229,2001,2.5,136,157,86.6,2338,679,0,0.0,0.2,0.0,1,7,1,0,12,633,it ITA,MF,it Serie A,24-229,2001,2.5,157,141,16,13,0,1,4,0,2,2,0,0,136,0,1,633,it ITA,MF,it Serie A,24-229,2001,2.5,5,1.97,3,1,0,0,1,0,0,0.00,633,it ITA,MF,it Serie A,24-229,2001,2.5,3,2,0,3,0,6,50.0,3,0,0,0,1,4,2,0,633,it ITA,MF,it Serie A,24-229,2001,2.5,174,3,40,114,21,0,174,1,1,100.0,0,0.0,103,504,260,4,5,0,3,1,119,1,780,it ITA,MF,it Serie A,24-229,2001,4,228,57,50.7,2.5,2,78,2,2,37,1,0.50,1,6,-5,-1.97,-2.78,2.8,4.7,-1.9,-0.76,633,it ITA,MF,it Serie A,24-229,2001,2.5,0,0,0,1,4,0,4,1,2,0,0,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Omar Falah,es ESP,"DF,MF",Oviedo,es La Liga,22.0,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,634,es ESP,"DF,MF",es La Liga,22-020,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,634,es ESP,"DF,MF",es La Liga,22-020,2003,0.1,8,9,88.9,144,54,0,0.0,0.0,0.0,0,1,0,0,0,634,es ESP,"DF,MF",es La Liga,22-020,2003,0.1,9,7,2,0,0,1,0,2,0,0,0,0,8,0,1,634,es ESP,"DF,MF",es La Liga,22-020,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,634,es ESP,"DF,MF",es La Liga,22-020,2003,0.1,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,634,es ESP,"DF,MF",es La Liga,22-020,2003,0.1,14,2,6,6,2,0,14,1,0,0.0,1,100.0,5,31,12,0,0,0,0,0,6,3,782,es ESP,"DF,MF",es La Liga,22-020,2003,1,13,13,2.4,0.1,0,,0,1,13,3,0.00,0,0,0,0.00,+1.54,0.0,0.1,0.0,-0.23,634,es ESP,"DF,MF",es La Liga,22-020,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30.0,1995,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,635,it ITA,GK,it Serie A,30-170,1995,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,635,it ITA,GK,it Serie A,30-170,1995,5.0,81,151,53.6,2815,2373,0,0.0,0.0,0.0,0,4,1,0,0,635,it ITA,GK,it Serie A,30-170,1995,5.0,151,109,41,26,0,0,0,0,0,0,0,0,81,1,0,635,it ITA,GK,it Serie A,30-170,1995,5.0,0,0.00,0,0,0,0,0,0,0,0.00,635,it ITA,GK,it Serie A,30-170,1995,5.0,1,1,1,0,0,1,100.0,0,0,0,0,0,1,3,0,635,it ITA,GK,it Serie A,30-170,1995,5.0,170,125,169,1,0,0,170,0,0,,0,,83,551,383,0,0,0,1,0,72,0,783,it ITA,GK,it Serie A,30-170,1995,5,450,90,100.0,5.0,5,90,5,0,,0,0.40,4,10,-6,-1.20,,3.9,8.0,-4.1,-0.83,635,it ITA,GK,it Serie A,30-170,1995,5.0,0,0,0,0,2,0,0,0,1,0,0,0,6,2,0,100.0,32,it ITA,GK,it Serie A,30-170,1995,5,5,450,5.0,10,2.00,27,17,70.4,0,2,3,1,20.0,2,2,0,0,32,it ITA,GK,it Serie A,30-170,1995,5.0,10,2,0,1,0,9.8,0.31,-0.2,-0.03,30,95,31.6,135,15,62.2,43.5,73,1,1.4,7,1.40,13.6
636,Ansu Fati,es ESP,FW,Monaco,fr Ligue 1,22.0,2002,2,0,70,0.8,3,0,3,2,1,1,0,0,1.7,0.9,0.4,1.4,0,2,3,2.57,2.72,636,es ESP,FW,fr Ligue 1,22-333,2002,0.8,3,3,2,66.7,3.86,2.57,0.67,1.00,12.3,0,1,1,1.7,0.9,0.31,+1.3,+1.1,636,es ESP,FW,fr Ligue 1,22-333,2002,0.8,30,39,76.9,389,62,0,0.4,0.1,-0.4,3,0,0,0,2,636,es ESP,FW,fr Ligue 1,22-333,2002,0.8,39,37,2,0,0,0,0,1,0,0,0,0,30,0,2,636,es ESP,FW,fr Ligue 1,22-333,2002,0.8,5,6.34,5,0,0,0,0,0,1,1.27,636,es ESP,FW,fr Ligue 1,22-333,2002,0.8,3,3,0,3,0,1,0.0,1,0,0,0,0,3,0,0,636,es ESP,FW,fr Ligue 1,22-333,2002,0.8,48,0,9,26,13,6,47,1,0,0.0,1,100.0,19,83,41,0,1,0,0,1,33,3,785,es ESP,FW,fr Ligue 1,22-333,2002,2,70,35,13.0,0.8,0,,0,2,35,0,1.50,5,3,+2,+2.57,+2.19,2.7,2.4,+0.3,+0.39,636,es ESP,FW,fr Ligue 1,22-333,2002,0.8,0,0,0,1,0,0,0,0,3,0,0,0,3,2,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Abdoulaye Faye,sn SEN,DF,Lorient,fr Ligue 1,21.0,2004,5,4,405,4.5,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,1,14,0,0.00,0.05,637,sn SEN,DF,fr Ligue 1,21-007,2004,4.5,0,4,0,0.0,0.89,0.00,0.00,,10.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,637,sn SEN,DF,fr Ligue 1,21-007,2004,4.5,216,243,88.9,3938,1626,0,0.0,0.1,0.0,0,15,0,0,14,637,sn SEN,DF,fr Ligue 1,21-007,2004,4.5,243,220,23,6,0,0,0,1,0,0,0,0,216,0,1,637,sn SEN,DF,fr Ligue 1,21-007,2004,4.5,4,0.89,3,0,0,1,0,0,1,0.22,637,sn SEN,DF,fr Ligue 1,21-007,2004,4.5,6,3,3,3,0,4,50.0,2,7,4,3,9,15,23,1,637,sn SEN,DF,fr Ligue 1,21-007,2004,4.5,302,53,175,109,19,7,302,2,1,50.0,1,50.0,177,846,424,1,2,0,0,3,199,0,787,sn SEN,DF,fr Ligue 1,21-007,2004,5,405,81,75.0,4.5,4,90,4,1,45,0,1.40,8,13,-5,-1.11,-1.11,6.0,8.9,-2.9,-0.65,637,sn SEN,DF,fr Ligue 1,21-007,2004,4.5,3,0,0,9,3,0,0,9,3,0,1,0,11,11,6,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Jacopo Fazzini,it ITA,"MF,FW",Fiorentina,it Serie A,22.0,2003,5,2,199,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,3,15,4,0.00,0.27,638,it ITA,"MF,FW",it Serie A,22-197,2003,2.2,0,4,0,0.0,1.81,0.00,0.00,,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,638,it ITA,"MF,FW",it Serie A,22-197,2003,2.2,44,57,77.2,715,286,0,0.4,0.3,-0.4,3,5,6,1,15,638,it ITA,"MF,FW",it Serie A,22-197,2003,2.2,57,52,3,1,1,0,3,0,2,2,0,0,44,2,2,638,it ITA,"MF,FW",it Serie A,22-197,2003,2.2,7,3.15,6,1,0,0,0,0,0,0.00,638,it ITA,"MF,FW",it Serie A,22-197,2003,2.2,10,4,2,7,1,6,50.0,3,3,0,3,3,13,1,1,638,it ITA,"MF,FW",it Serie A,22-197,2003,2.2,93,0,10,47,38,2,93,9,2,22.2,6,66.7,43,253,133,3,2,0,5,6,48,4,788,it ITA,"MF,FW",it Serie A,22-197,2003,5,199,40,44.2,2.2,2,75,2,3,17,0,0.60,2,1,+1,+0.45,+1.89,2.8,1.8,+1.0,+0.43,638,it ITA,"MF,FW",it Serie A,22-197,2003,2.2,0,0,0,3,3,0,3,3,4,0,0,0,9,1,5,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Aleix Febas,es ESP,MF,Elche,es La Liga,29.0,1996,7,7,630,7.0,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.7,32,48,23,0.00,0.10,639,es ESP,MF,es La Liga,29-239,1996,7.0,0,6,1,16.7,0.86,0.14,0.00,0.00,19.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,639,es ESP,MF,es La Liga,29-239,1996,7.0,422,460,91.7,5685,1533,0,0.2,0.5,-0.2,6,44,3,0,48,639,es ESP,MF,es La Liga,29-239,1996,7.0,460,454,5,2,2,0,2,1,0,0,0,0,422,1,5,639,es ESP,MF,es La Liga,29-239,1996,7.0,14,2.00,11,0,0,1,0,2,1,0.14,639,es ESP,MF,es La Liga,29-239,1996,7.0,15,11,5,6,4,12,66.7,4,3,0,3,5,20,4,0,639,es ESP,MF,es La Liga,29-239,1996,7.0,534,10,87,322,131,9,534,22,12,54.5,8,36.4,323,2009,1303,32,25,3,10,10,431,23,789,es ESP,MF,es La Liga,29-239,1996,7,630,90,100.0,7.0,7,90,7,0,,0,1.86,10,6,+4,+0.57,,9.1,7.4,+1.7,+0.24,639,es ESP,MF,es La Liga,29-239,1996,7.0,1,0,0,5,19,0,2,5,11,0,0,0,32,1,5,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Mattia Felici,it ITA,"MF,FW",Cagliari,it Serie A,24.0,2001,3,0,78,0.9,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,5,2,8,1.15,0.28,640,it ITA,"MF,FW",it Serie A,24-165,2001,0.9,1,2,2,100.0,2.31,2.31,0.50,0.50,14.5,0,0,0,0.2,0.2,0.10,+0.8,+0.8,640,it ITA,"MF,FW",it Serie A,24-165,2001,0.9,15,29,51.7,266,104,0,0.1,0.1,-0.1,3,0,1,1,2,640,it ITA,"MF,FW",it Serie A,24-165,2001,0.9,29,23,5,0,0,0,5,2,3,1,1,0,15,1,2,640,it ITA,"MF,FW",it Serie A,24-165,2001,0.9,5,5.56,3,2,0,0,0,0,1,1.11,640,it ITA,"MF,FW",it Serie A,24-165,2001,0.9,4,1,1,3,0,1,100.0,0,0,0,0,0,4,0,0,640,it ITA,"MF,FW",it Serie A,24-165,2001,0.9,42,0,6,14,23,4,42,3,1,33.3,2,66.7,31,241,123,5,5,3,3,2,28,8,790,it ITA,"MF,FW",it Serie A,24-165,2001,3,78,26,17.3,0.9,0,,0,3,26,2,2.00,2,1,+1,+1.15,+1.40,1.3,1.8,-0.5,-0.57,640,it ITA,"MF,FW",it Serie A,24-165,2001,0.9,0,0,0,1,2,0,5,0,1,0,0,0,5,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
